NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
41,4.0972,14.4228,24.1843,8.37719,1.99304,7.9189,0.975044,12.9173,0.894481,16.1913,23.2616,1.37024,4.03208,7.94615,35.4064,24.3822,8.46028,2.65615,35.9023,6.74717
42,2.01397,14.011,21.8412,8.18338,2.29154,7.85328,2.45952,12.7716,3.07788,12.0692,23.8461,0.99206,4.45668,6.66489,31.7352,25.6774,8.36735,1.87517,39.9788,6.73411
43,4.52571,14.7686,24.2164,8.42398,1.82192,7.1691,2.49359,12.644,1.26519,14.0642,23.6174,1.29719,4.30979,7.14643,40.0999,25.5571,8.01273,1.79491,36.2227,6.72544
44,4.49774,15.7001,23.4257,9.17409,2.11885,7.75248,3.06884,12.2532,2.43871,17.1753,23.4069,1.94642,3.95096,7.79431,37.9535,24.0884,8.46945,2.12604,39.826,6.3023
45,3.07222,14.1257,20.9069,9.14901,2.0551,7.98124,2.88929,12.3942,2.00613,12.835,23.8138,1.39008,4.6512,8.00524,38.5763,25.0385,8.47975,2.74529,37.2244,6.43131
46,3.58392,15.3207,24.469,8.86971,2.45776,7.90022,1.71455,12.8621,1.1844,13.6013,24.0699,1.24583,3.82767,6.84366,33.7721,25.3094,7.77681,2.83483,35.5035,6.99254
47,3.28462,15.5326,20.8407,8.58429,2.23907,7.74712,2.76778,12.8814,1.81404,17.3204,23.4321,0.533788,4.17291,7.93324,39.7362,24.9693,7.83753,2.58646,34.9284,6.84274
48,3.60758,15.7943,22.6667,9.14395,1.8527,6.87403,1.28538,12.9763,2.8404,13.1978,24.1441,1.21554,4.23996,7.78043,37.328,25.017,8.40013,2.54825,39.3027,5.59072
49,2.00579,14.9337,25.1273,8.53218,1.74141,7.90821,2.3086,12.7681,3.23529,17.4338,23.7856,1.35436,5.00213,7.85705,34.7599,24.7866,7.93469,2.61134,40.2766,6.74754
50,2.63817,14.1064,21.6589,8.37635,2.12887,8.02244,3.04686,12.9443,1.89205,15.8231,23.7307,1.04865,3.74005,8.01312,40.0173,24.3303,8.02986,2.124,35.2088,6.77071
51,3.95653,15.0492,20.7353,8.56635,1.87549,7.6389,3.01827,12.319,2.3148,17.2604,23.6416,1.48267,4.64762,6.80286,37.8067,25.3853,7.94225,2.24802,40.201,6.99734
52,2.99466,15.5455,21.6502,9.17481,1.87276,7.91416,3.82256,12.3383,3.05586,16.7075,23.7817,1.49149,4.27056,7.82244,37.5124,25.1431,8.18305,1.83848,38.7747,6.81754
53,4.66595,15.8305,20.912,8.91263,2.40435,7.46884,3.03258,12.149,2.85592,16.8044,24.3189,1.1839,4.67169,6.61803,40.3301,24.4942,8.33329,2.11225,40.1668,4.31815
54,4.7155,15.8,25.0058,8.31718,2.08665,7.33708,1.1847,13.01,3.28068,16.6086,23.554,0.887554,3.99243,8.05237,37.6754,23.2834,8.56767,2.77766,40.6007,6.90965
55,4.71918,15.8353,23.7546,8.90086,2.3695,7.4674,3.03827,12.9752,3.13754,17.3533,24.2311,1.32582,3.48654,6.92401,39.3452,23.6607,7.67045,2.47702,34.3841,6.96489
56,4.59486,14.3456,24.5117,8.34861,2.47968,7.18667,1.54961,12.6179,3.34488,15.6463,23.8681,1.48566,4.09609,7.85624,33.6385,25.9144,8.27619,2.79915,36.2016,7.16307
57,4.75826,15.1696,23.4127,9.18404,2.22203,7.8345,2.72063,12.1988,3.34847,13.1968,23.947,0.605192,3.41585,6.58693,34.6691,23.8335,8.1053,2.58874,40.2272,6.97558
58,4.86819,15.2183,20.9972,8.2344,2.51898,7.84933,2.57535,13.0229,1.36493,12.1669,24.4247,1.39811,5.07756,7.81159,36.3064,21.2788,7.91516,2.6426,34.8462,6.30323
59,4.80407,15.095,25.3226,8.82509,1.66646,7.08382,1.05566,12.7031,3.30282,14.8736,23.0315,1.45476,4.02469,7.97827,39.3262,21.7214,8.48593,2.37683,38.4758,6.78711
60,4.41548,14.5626,22.9944,9.18717,1.64665,6.98659,1.22429,12.3544,3.28765,17.8321,23.4541,2.17966,4.28762,7.95749,34.958,21.901,8.25108,1.99872,39.3325,6.71315
61,6.22438,14.525,21.9264,8.12925,1.71506,7.99828,1.10089,12.333,1.201,11.4492,23.4883,1.24472,4.24387,7.76674,33.0424,22.351,8.38893,1.80924,35.2389,6.8593
62,3.33521,13.9959,23.855,8.57228,2.47982,7.02989,4.16156,12.955,1.23341,14.7177,23.8506,1.47837,4.66753,6.79346,34.8916,24.2272,8.3899,2.67285,40.7383,6.85307
63,4.2941,13.9074,23.8815,8.75934,2.47092,7.86262,1.97958,12.2422,3.52271,15.6163,23.9902,1.51523,3.72012,7.8188,34.9227,25.5836,8.62101,2.55802,37.1709,6.14659
64,3.763,14.7174,25.1252,8.63457,2.25788,7.89078,2.86424,12.289,2.61585,17.5657,23.4254,2.02123,4.64109,7.03141,40.3958,22.5544,8.56179,1.91383,35.6181,6.49937
65,4.73112,13.9362,24.3753,8.99441,1.88843,7.99527,1.82385,12.1015,0.726389,15.1986,24.1893,1.68589,5.29714,7.83248,39.6664,22.0784,8.01991,2.58038,39.7476,7.28729
66,4.88975,14.779,24.457,8.63037,1.98221,8.04014,3.24662,12.7606,2.73742,17.5088,23.6134,0.982406,4.52205,8.01664,37.5374,22.2388,8.60719,3.33189,36.2584,6.77053
67,3.65178,13.9483,22.1499,8.43886,2.49116,7.2539,3.43826,12.9715,2.93624,16.7839,23.4814,1.54677,4.99356,7.30506,39.959,21.515,8.45284,1.82202,36.2102,6.78403
68,4.81249,16.0086,25.4815,8.02598,2.38828,7.89792,2.99282,12.4602,1.79537,17.7693,23.5779,1.5103,4.22289,7.65349,28.8329,23.0338,7.86843,1.70081,38.7013,7.13424
69,3.75284,13.8063,24.847,8.81669,2.03875,7.27502,3.16653,12.1942,1.07859,18.1561,24.1519,1.4143,4.80655,7.99366,37.53,23.7222,7.67832,2.21449,37.0636,6.80066
70,4.92546,15.8387,25.0381,8.15166,1.97363,6.89276,3.17882,12.7608,1.60951,15.3054,23.7839,0.651979,5.2276,7.8422,35.6793,24.8996,8.30309,1.8239,40.4391,7.03899
71,3.70327,15.5992,23.0012,8.8388,2.5388,7.746,3.90838,12.3084,2.10968,14.2341,23.6277,1.21165,4.20817,7.79638,32.9996,26.2996,8.2035,2.62947,40.9853,6.89992
72,2.25251,15.3921,25.7133,9.12188,2.27918,6.85287,3.42986,12.9433,3.15436,18.2518,24.1654,1.57585,3.51174,8.08308,40.084,24.9142,8.55631,2.7301,34.4979,6.36946
73,3.29533,13.9227,20.3522,9.26503,1.76578,7.97056,2.53443,12.7347,1.32435,11.7074,24.2089,0.478571,5.26762,6.74409,33.2097,25.4429,8.48914,2.7467,41.5034,7.33364
74,4.88281,16.0845,24.2945,8.09361,2.17495,7.93694,1.3124,12.4152,2.40975,12.4396,23.7134,1.55297,5.5549,6.686,37.5627,24.0958,7.89705,2.70525,34.7303,5.8557
75,2.82714,15.8107,21.2199,9.13127,2.32571,7.61192,3.40412,12.3949,0.773169,16.9156,23.6348,1.57959,4.66348,7.96823,39.5412,21.8679,8.41545,2.78966,39.0398,6.94395
76,4.87894,15.5086,25.0132,8.55652,1.88156,6.97657,2.67483,12.3507,3.6027,16.5446,24.3755,2.18428,4.5921,6.67847,40.2183,26.1891,7.71596,2.32316,36.8128,6.88956
77,2.26841,14.9215,25.4811,8.9032,2.39674,7.9746,1.49747,12.1565,3.50701,18.29,23.1227,1.35937,4.31877,6.93334,31.2276,25.2756,8.42771,3.63151,41.2026,4.53704
78,4.32403,15.1195,24.7151,8.95551,2.54007,7.07025,3.04686,12.9505,3.24489,18.3659,24.2417,1.30225,4.38386,7.86667,37.329,26.106,8.64692,2.33128,34.6212,6.76875
79,1.28933,14.3707,21.6914,8.32281,2.50953,7.93907,3.99772,12.5322,3.39182,13.2124,23.6084,0.87999,4.57743,6.53284,33.8832,25.9452,7.88026,1.76546,34.3948,6.84864
80,3.65824,14.0545,21.0598,8.51688,1.78622,7.31267,2.82419,12.4589,1.28509,17.9298,24.5043,1.50977,3.26381,7.0543,26.48,25.8217,8.14963,2.12465,40.5712,7.16712
81,5.13179,13.742,21.1964,9.18033,2.12328,8.0096,3.27364,12.1225,3.68038,13.2357,24.4917,1.21516,5.17224,6.3551,33.5894,24.7736,8.71433,3.13197,35.9491,5.13869
82,1.42741,14.6447,24.7358,8.23709,2.35356,7.95873,3.39749,12.0043,3.43074,14.0559,23.9933,1.58558,4.73294,7.86859,40.9357,23.6771,8.39341,2.45786,40.6367,6.89291
83,5.33303,14.7478,22.2642,7.99831,2.05968,7.73369,1.18373,12.9384,3.60694,11.9354,23.4634,1.49462,5.68574,7.23644,35.1453,25.4,8.37325,2.81893,36.6578,7.55075
84,4.95579,16.0766,24.2295,9.17391,1.61167,7.84266,1.79259,12.6534,3.56854,17.0909,23.9524,1.639,5.44088,7.74569,36.7816,26.7186,8.64071,2.63632,38.5812,6.83701
85,3.58183,14.1976,24.3123,7.93325,2.30613,8.01846,3.25289,12.0688,2.628,18.4172,23.9229,1.66656,4.51878,8.10602,36.5711,23.1102,7.60685,2.88948,35.0416,6.76186
86,4.67662,16.3014,19.85,9.26172,2.20366,7.43956,1.45642,12.7835,2.96634,11.1738,23.862,2.08407,4.61964,7.69639,38.5102,25.6505,8.02431,1.70542,40.4043,6.9037
87,1.17143,15.8274,25.6759,9.27198,2.55906,8.04424,2.99445,12.0241,3.80976,13.1764,23.1583,2.01323,4.23649,7.49102,41.9542,25.5878,8.20627,2.07244,34.7325,7.07283
88,4.2975,16.2918,23.5048,7.9911,1.67446,8.0206,3.46961,12.1404,0.99629,12.6243,23.8415,1.59631,5.23942,7.89599,36.6047,24.2479,7.81706,2.83166,41.6601,4.54932
89,5.05828,15.5909,24.8808,8.52236,1.81795,7.18447,3.03365,13.1792,3.77594,15.9858,24.0385,1.64885,1.34525,7.94359,39.0812,25.9308,7.84293,2.67182,40.6401,7.20119
90,5.23814,13.9383,25.6624,8.2998,2.51183,7.91263,2.01975,12.5566,1.75906,12.5765,24.5308,1.17207,5.52725,7.84164,35.996,24.006,7.92323,2.75948,39.5995,6.84966
91,4.22715,16.196,23.5569,8.81739,1.91522,7.16842,3.7874,12.6618,3.13165,17.4378,24.1371,2.23985,5.2847,7.89887,40.9927,23.3427,8.82967,2.33683,35.4147,7.60546
92,3.74068,15.8187,24.7294,9.14713,1.69708,7.73468,9.6224,12.7277,3.81224,17.8621,23.8285,1.40696,3.58639,6.79843,41.3552,25.0988,8.53582,2.88338,41.1554,7.2699
93,3.13736,14.3438,20.6123,9.33826,2.57559,6.88385,3.43917,12.2094,2.80769,18.0488,23.4756,1.56104,4.79903,7.96639,36.6771,23.0927,8.14858,1.60484,41.7855,7.54582
94,5.04229,16.1163,26.1681,7.94265,1.78831,7.94767,4.35555,13.0203,3.45987,14.797,23.3599,1.52247,4.17553,7.85226,33.5851,22.2404,8.1441,1.83903,34.7763,7.1255
95,5.02628,14.5273,25.1508,8.69251,2.24725,7.87691,3.68427,12.4719,2.3857,11.6455,24.2743,1.69965,1.48254,6.25543,41.053,22.5608,7.8202,6.77555,40.3857,5.48352
96,4.98188,16.3489,20.3723,8.98627,1.60665,7.77081,3.11829,12.6787,2.44825,11.5233,24.2332,0.601766,3.25105,6.4738,34.7579,25.7122,8.8399,1.88355,37.3284,7.12086
97,5.30775,15.1685,25.7667,8.42683,2.18784,7.89668,1.29574,12.2389,3.36089,17.765,23.8932,1.71644,4.57351,7.91135,36.401,26.0113,8.34213,2.84101,41.1781,7.23737
98,5.03704,14.7949,25.8519,8.66235,2.57273,6.92098,2.52034,12.8929,1.45489,16.7917,23.4172,1.69274,4.29387,7.82956,40.5254,25.912,8.08884,2.97902,40.9871,7.23889
99,2.45277,14.8386,23.6958,9.17492,2.27784,7.89342,3.83336,12.6201,3.95595,16.0938,24.4126,1.45792,4.67273,6.42732,29.2346,23.0028,8.07168,5.08009,34.9844,7.13879
100,5.10463,13.7036,20.0987,9.38454,2.66048,7.88314,3.86211,12.7373,1.22006,14.917,23.032,1.70605,5.488,7.76756,32.7703,25.2211,8.48977,1.73623,35.8494,7.86373
101,2.32674,13.7562,24.2598,8.10976,2.49587,7.75638,1.06431,12.3251,3.56711,13.6536,24.2512,0.74364,4.92821,7.80127,41.915,25.8809,8.68644,2.85478,41.4609,6.87319
102,5.22547,16.1189,25.5259,8.14077,2.4257,7.07122,3.28846,12.2442,3.79307,18.5135,24.0843,1.19398,4.8863,6.53803,35.1383,25.8388,7.64342,1.66669,36.8394,6.44073
103,4.97962,13.8561,21.5283,8.84021,2.60335,7.75631,2.56652,13.1368,3.8872,11.7865,23.8598,1.02043,4.00264,8.09538,41.1264,24.4096,8.11619,3.07573,41.2129,6.2307
104,4.78612,15.473,25.0933,9.23669,1.95301,7.61552,3.69756,12.476,3.66914,17.1011,23.7788,1.46197,1.36138,6.13838,38.7646,25.2994,8.63956,2.371,42.2851,6.0694
