NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.unica,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
70,4.80821,8.64022,6.04407,5.24713,9.38881,9.18748,11.4047,9.27308,2.47958,14.399,6.58968,7.17723,8.62745,7.51686,10.4938,9.18973,7.24074,2.0448,10.232,24.9135
71,2.00069,8.81293,7.62021,7.49103,4.05248,7.74131,6.57039,9.35688,3.19708,12.7975,8.55093,9.69578,4.45891,7.69088,8.04354,8.34962,7.11641,2.21071,11.0175,35.4903
72,1.85588,8.99142,6.7002,7.80015,5.81355,8.35023,9.38345,9.10638,4.25491,12.6267,8.58659,6.89628,4.78272,8.23828,8.65874,7.90824,6.98641,2.19241,10.17,10.1422
73,1.88604,8.6643,6.94611,6.74504,10.2267,7.1942,13.5736,9.2516,1.07268,16.0305,6.61589,5.44096,8.22242,8.76179,8.37344,8.05979,7.0921,1.60607,9.89831,39.9444
74,4.41326,8.58438,5.71191,8.75912,6.31417,7.3014,4.40306,12.509,3.20224,13.05,8.86523,5.85644,8.55774,6.8694,10.3851,8.19064,7.57856,1.1678,8.62385,5.26979
75,3.86586,8.66004,7.30779,6.93147,4.90145,9.05447,6.99926,12.6885,0.896742,16.454,7.24281,3.05565,9.86817,8.49364,9.50315,9.05391,7.37916,2.04331,10.3795,31.6436
76,5.02917,7.97169,7.33241,5.98316,10.3771,7.82896,3.55248,9.29439,4.73941,15.2979,6.8864,9.50507,3.51424,4.65945,9.71965,8.08625,7.78889,2.13442,8.99104,42.3999
77,1.89935,6.99216,6.26561,9.08951,4.03108,8.49848,3.89191,8.75074,4.56641,12.9349,7.88338,3.93419,7.81147,8.00605,10.4143,9.03816,7.70719,0.98422,11.6756,13.5875
78,5.39276,9.61353,6.05052,7.79093,4.21917,9.34498,15.142,12.3842,4.87085,12.9471,7.1793,4.61714,5.73776,7.71003,10.5724,8.31015,7.72822,2.12939,9.00366,35.7697
79,1.36767,7.75331,7.52064,7.78312,3.81839,6.75067,14.2095,11.4609,4.4713,12.437,7.41038,8.93137,6.36273,5.7715,7.86342,8.08615,7.7127,2.22075,9.75082,34.3478
80,2.04352,7.83639,7.41748,9.19892,9.89501,7.44451,15.379,9.54085,1.28016,10.5906,7.29231,10.2519,5.37761,9.53812,10.7089,8.45503,7.62064,2.18598,11.8488,26.2237
81,4.04358,8.34849,6.3094,7.4442,8.11092,6.62689,13.7615,9.49036,5.31022,16.8307,7.04875,4.88472,8.72886,4.3563,9.14369,9.29128,6.67493,1.09247,8.1981,14.4165
82,2.06437,7.16309,5.93104,9.15949,5.24188,7.5937,12.2673,10.4057,5.69666,12.726,7.15662,8.28569,3.64526,7.95427,9.47473,9.30489,7.56708,2.033,11.9956,44.8919
83,2.24902,9.88119,7.63217,4.84241,7.27497,7.85665,5.8937,9.13961,5.71765,17.4379,7.59816,9.6279,8.86317,9.2169,7.5802,9.36807,7.53454,2.04348,8.6848,35.6137
84,5.77748,8.67428,6.35461,6.88331,11.5074,8.11204,3.96624,8.556,4.64154,11.134,6.73901,3.0396,8.24393,8.55406,10.5454,8.42724,6.92241,2.25258,9.98388,19.0187
85,1.91386,9.57415,7.57118,4.30679,5.24612,7.33753,3.50518,11.0621,3.84597,12.4948,8.28906,4.07339,4.84211,8.19501,6.85261,9.49511,7.56222,2.2316,11.3178,42.7753
86,3.00561,8.90588,7.20146,6.9899,6.99245,7.54997,8.31305,9.153,4.24605,15.3052,8.85505,7.21769,8.56304,8.49008,9.98892,8.94506,7.74045,2.11761,12.0876,38.629
87,1.94953,8.37947,6.38565,7.25916,4.32714,6.6649,15.6781,9.8036,5.11774,16.7277,7.53573,7.374,6.10964,8.61948,9.84049,8.91713,7.6878,2.38538,13.4965,28.2895
88,2.66957,8.80141,6.21306,8.73995,11.1889,6.48304,10.5563,9.22826,1.10036,12.6604,8.27337,2.86131,8.25781,8.29389,6.81299,9.34671,7.98126,1.3977,10.076,10.7424
89,5.03671,9.08603,5.85938,7.60038,9.75754,7.57192,12.3783,11.8979,4.88538,13.4252,6.97608,5.4076,1.22103,8.02335,7.8153,7.94499,7.77636,2.0881,10.524,34.3671
90,3.88567,7.57296,6.80021,9.69599,4.75096,7.54933,11.3779,9.43275,2.30427,16.94,7.67145,10.1839,8.76484,8.41159,6.64935,7.87339,8.13917,2.03805,11.1954,23.066
91,2.54495,8.98933,7.70582,8.03529,8.55491,7.57245,5.32061,10.9507,4.44899,17.4564,8.0874,15.4926,8.24805,7.67439,9.49273,8.12199,6.7539,2.23834,13.4644,39.5141
92,2.28967,9.01824,7.17727,7.41732,11.3354,7.64832,18.2228,9.35845,4.86729,10.1243,8.50666,4.6065,6.2931,7.85177,10.6668,7.84054,7.59324,2.4111,12.7906,45.8997
93,1.74071,7.19892,7.346,7.05181,4.27207,8.96838,15.1779,12.1855,3.80279,16.8371,8.97914,9.44922,4.46779,8.84763,10.3237,8.52857,6.93575,2.07607,11.1737,33.8059
94,3.60707,8.74833,6.67378,7.48711,10.9986,7.91797,5.89627,12.4964,4.70162,16.0661,7.44996,3.45122,7.54374,7.72456,9.61693,8.84958,7.44077,2.48628,8.21317,33.051
95,5.89656,9.85516,6.00694,7.15601,5.55842,7.5891,9.77651,13.1317,3.84368,14.1301,8.20734,2.59866,1.2391,4.62313,9.41733,9.80446,8.31255,1.44264,12.0538,6.82145
96,4.53521,8.77787,6.79241,9.28035,11.511,8.73528,15.3476,9.44516,3.2894,14.9022,7.79122,6.85469,5.10293,6.44267,10.1436,9.29824,7.17184,2.49693,9.55612,38.7381
97,3.88026,10.0863,7.3717,6.05536,5.95634,7.50342,5.56229,9.27103,5.30359,17.9926,6.6759,3.36873,3.94325,7.66864,7.2361,8.76656,7.74856,2.72856,12.928,25.6494
98,5.38873,10.2464,7.31622,6.59712,4.46279,8.17469,3.48898,12.4353,1.87211,16.8373,7.8103,6.98253,5.12995,8.56591,8.34162,8.89692,7.37686,2.24677,12.8359,36.1959
99,3.52417,6.83532,7.62029,8.54437,5.85051,7.5238,8.51987,9.2718,5.20618,13.8246,7.06337,10.6009,5.61158,3.97521,11.3395,8.43313,7.7989,2.76416,13.228,37.5685
100,4.8358,9.12986,7.17818,7.058,4.4713,7.80786,7.17338,10.6938,1.67303,13.9409,7.81667,8.26832,8.07305,8.05222,11.0868,9.32818,7.03339,2.51438,7.95694,46.6552
101,1.69795,8.28955,6.27361,5.18728,3.76811,8.84511,5.24295,12.8703,6.35494,12.3688,7.20775,8.62738,3.36839,7.8453,10.0442,7.68775,7.20865,1.89627,12.5677,42.3246
102,4.4314,8.8589,6.98677,10.045,4.18987,7.64236,14.2932,8.20413,6.18776,16.865,8.83811,10.5974,10.0642,9.01683,10.9993,9.4702,7.94114,2.3613,13.2456,12.4434
103,5.59962,9.50498,6.20289,9.44013,4.46544,9.24401,14.3011,12.5808,5.67218,13.2664,9.02247,10.0538,7.19571,8.65914,9.79792,8.01788,7.78141,2.28013,10.4031,6.34879
104,6.17506,7.8927,5.99492,8.06887,9.80918,8.25251,3.52047,8.22482,4.78263,11.0228,7.33748,10.234,1.16608,5.23695,7.58456,7.80992,7.57234,2.49786,9.7871,4.72022
105,2.72791,7.59382,7.48935,7.93214,11.8762,7.98466,2.89406,9.94377,1.04502,13.6107,7.83639,2.32982,4.04903,6.67477,11.1716,8.46839,8.02609,2.36124,12.5516,7.90855
106,5.70013,8.35327,6.13336,4.5708,7.45208,8.01103,17.1795,9.07286,4.38801,15.448,7.29458,7.73497,7.37596,8.71117,10.7589,9.23702,6.99449,2.83711,10.9128,32.5227
107,1.60758,8.83864,7.56683,9.4918,11.0803,7.58466,12.5272,10.3247,6.94426,16.7235,7.55314,4.45581,8.84435,8.71531,8.86253,10.0086,7.32297,2.61815,9.61738,19.0509
108,1.7343,9.69996,5.72389,7.80806,4.72517,9.62269,13.8527,11.1775,1.46458,12.493,6.87326,6.81388,8.64896,8.01035,8.1391,10.0905,7.37837,1.1318,12.4561,47.7753
109,1.26601,7.20733,5.65405,8.95681,4.12112,7.82519,11.3861,13.1375,4.8918,17.3635,7.61837,4.32335,6.51589,5.58541,9.03399,7.93081,7.76654,1.27574,8.50553,29.3636
110,5.29281,8.77174,6.16767,10.0006,6.62876,9.15855,16.2404,13.1161,3.37707,13.9866,8.87307,9.49854,6.45231,7.86705,9.35369,8.83538,7.32387,2.30469,9.08545,36.117
111,5.10748,8.87212,7.92552,9.87795,12.1002,7.16069,25.8445,8.88541,4.71523,17.5508,8.93864,2.54162,1.46683,7.37341,8.60253,8.11143,6.95383,2.17592,8.31006,19.4402
112,2.56195,8.35975,7.39354,7.54968,11.929,8.24732,6.24322,9.41587,1.75465,11.6105,6.57287,5.13363,1.29774,9.13751,7.78878,9.92274,7.81831,2.52556,11.0308,38.7753
113,1.26011,7.61861,6.08735,7.15509,4.26375,6.50761,16.5303,9.40181,5.11341,17.18,9.21673,6.16831,6.59393,8.40989,9.22334,9.77347,7.02121,2.56594,7.95541,17.4977
114,4.89336,6.9557,6.5143,7.34788,3.71235,8.27312,7.27966,9.34121,4.9556,16.7948,6.84218,5.22811,8.68249,9.15289,7.55543,7.94417,8.58537,2.57963,11.3908,25.6603
115,3.41529,8.88079,7.10416,7.20693,5.00548,9.49691,8.4217,9.45988,4.38527,16.3344,8.04818,7.76025,8.09382,8.45539,11.4317,9.3749,6.71739,2.66108,9.06731,43.3579
116,2.17949,7.09709,6.79794,8.72222,10.9735,8.17654,4.34756,9.26243,2.91499,12.5835,7.99205,3.00358,1.33873,7.55715,10.9896,9.66572,8.35957,3.00724,13.0365,42.464
117,5.25941,6.93363,5.73007,7.19868,4.84464,8.6465,4.38937,9.30353,4.75957,15.831,7.7484,10.8471,8.42787,8.27256,7.80273,8.16558,7.21627,2.20395,13.658,45.0469
118,3.3145,8.87341,5.61557,8.1028,9.0302,7.83233,16.802,12.7047,5.14139,10.5528,8.71564,10.3688,8.02511,3.36213,11.0316,8.01763,7.85543,2.4978,10.0778,24.7229
119,3.84393,9.16009,7.81366,10.0971,4.70113,8.72294,9.8681,9.622,4.94639,10.5614,6.46446,2.57502,10.1196,7.92648,11.0352,7.93968,8.90116,2.25844,13.906,47.1653
