NodeNo.,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
54,13.4337,16.2742,10.107,25.2155,22.5259,21.9685,5.76272,31.0521,9.72296,35.0218,10.815,9.23592,16.4447,20.553,12.5437,13.3522,9.57193,9.11723,24.4223,47.5258
55,13.254,15.7053,6.99457,25.5569,24.1388,22.5497,21.357,30.8031,9.33716,39.4352,6.93185,17.037,15.9723,19.517,14.8577,10.3177,9.55771,8.39036,15.2221,50.202
56,12.8984,11.4676,10.4093,26.555,24.1556,21.3399,11.1243,28.9967,9.85153,32.4145,7.33635,18.444,18.6824,20.718,12.7512,10.7417,9.68238,9.07075,11.9819,51.4732
57,13.4255,12.6704,6.87322,25.1646,23.2359,24.4351,19.8997,26.5283,9.86349,29.167,8.89715,5.50911,15.7177,19.2331,16.6998,13.6186,8.44539,8.19282,19.9968,51.054
58,13.8353,13.1797,6.86249,25.3884,24.2469,23.8715,15.1601,31.4069,4.05044,29.1628,6.35595,15.7319,21.658,19.1453,15.1048,11.3895,9.8396,8.3385,13.3123,55.1778
59,13.7411,15.4379,9.72329,25.68,20.5104,20.7489,6.99651,31.1074,9.74635,37.07,8.79058,18.9472,16.452,20.8836,17.4425,11.3843,9.67884,7.81413,14.2329,49.4218
60,13.7092,11.5567,6.725,25.188,20.4051,20.3838,7.52206,27.1931,9.76813,38.5849,7.86801,22.7104,18.0314,20.3226,14.235,12.1938,8.37922,6.83764,16.9987,51.6864
61,17.9559,14.1991,9.25123,25.8135,20.8776,24.6924,6.97259,27.4907,3.37903,29.6857,8.44226,14.8425,18.2554,19.3001,11.829,10.7446,9.36621,6.4429,14.4521,53.1893
62,10.3235,11.3606,7.03697,26.3887,24.2592,20.649,23.5743,30.5277,3.54261,29.8759,11.2565,17.2194,19.1524,19.4109,10.8539,13.9664,8.36817,8.38946,23.1373,52.0195
63,12.7713,13.2346,10.3709,25.633,24.4796,25.1405,14.6739,31.1134,10.2438,31.4262,8.27087,19.7594,16.9452,19.2167,11.0006,12.0222,8.53931,8.23685,21.446,57.6959
64,11.6893,11.8017,10.4436,27.031,23.6992,24.5509,21.1507,27.7701,7.92618,39.4813,10.0416,21.6187,20.4057,19.6238,17.1362,12.938,8.00689,6.81706,11.4112,54.6257
65,13.7803,12.2445,7.44448,25.6062,21.6605,24.4284,9.92872,25.9885,1.94816,37.2963,7.18267,18.4061,22.5446,19.7391,17.3258,11.2254,10.1495,8.21617,24.2486,49.7825
66,13.5495,14.8162,10.7188,25.4983,22.0753,24.6605,22.1994,29.7176,8.22575,36.2523,10.488,10.6321,19.6867,20.1567,17.9271,12.6129,7.83455,11.2883,20.1676,51.1551
67,11.1773,12.9462,6.60707,25.2,24.616,21.4478,22.2511,30.6175,8.83182,39.0438,9.87147,20.1501,21.3954,19.7621,14.5488,11.8277,8.5834,6.33568,19.4869,52.2024
68,13.5919,16.111,10.8423,25.86,24.2719,24.0618,21.7162,27.369,5.464,37.6776,9.5957,18.1867,16.8373,20.4656,14.0074,10.5112,10.2242,6.08244,15.6647,52.9921
69,11.6376,11.6103,8.01798,25.2036,22.8478,21.9128,19.233,31.1954,3.21968,38.786,6.03175,17.7836,19.3079,20.8226,12.1112,9.96909,9.35664,7.60253,12.6012,51.1275
70,13.5903,15.2819,8.75248,26.3906,22.5332,20.2244,22.2873,29.5215,4.93464,30.5462,6.34427,6.61434,21.844,18.9704,16.4323,13.8606,8.80826,6.54308,25.0508,54.6428
71,11.3784,16.2897,10.0643,25.0009,24.3385,24.3901,21.7534,26.7273,6.45337,29.5259,7.92129,13.0596,19.1325,18.9272,11.2975,11.0399,8.44061,8.17229,24.2277,51.0758
72,7.3541,16.0241,10.0399,25.7017,23.9147,20.0097,22.7044,30.7833,9.31925,39.8717,8.63503,19.7362,16.1774,20.8453,15.3192,9.46104,8.2362,8.48347,12.2289,56.6277
73,10.6631,12.632,7.29021,25.0215,21.2486,24.6995,18.7263,29.1212,3.83303,30.5481,6.17722,4.69683,22.0694,18.3891,12.2347,9.63274,7.77109,8.7592,25.5373,50.6381
74,13.6227,16.6298,7.17607,25.2859,22.8819,24.3104,6.36719,30.7753,7.30559,28.8154,9.36778,20.1453,23.0334,19.3675,16.7605,9.63811,9.64015,9.14825,10.6914,56.6494
75,8.20105,16.5873,8.84481,24.9032,24.0017,23.0441,21.6908,30.4489,2.08798,34.4657,11.0673,20.217,20.3117,20.6073,18.7134,10.85,8.20741,8.74156,14.9947,52.5906
76,13.4099,13.6796,10.8875,27.1773,22.0741,20.2765,15.4569,27.2413,10.3851,33.8242,6.0134,22.7665,20.7867,19.3024,18.4225,10.2572,9.8306,8.12323,11.8408,47.9699
77,7.65745,12.0191,9.14267,25.5187,24.2815,24.5832,7.52799,30.7847,10.1814,39.4994,8.57054,16.6299,19.3287,19.5746,15.3239,13.2619,9.60842,11.8533,23.7098,48.5401
78,12.2099,15.7341,6.88297,25.9422,24.3486,20.9389,22.4643,30.4316,9.65423,39.483,7.10634,14.6743,18.0156,19.2113,16.4103,11.2163,9.51706,7.77456,11.0191,50.0726
79,4.31354,11.2556,9.43019,25.2329,24.4041,24.8884,24.5331,31.3538,9.88506,28.6675,10.4279,9.31528,18.1731,19.1344,10.9153,9.87031,9.40345,6.21468,11.4468,51.551
80,11.4649,11.0132,8.58612,25.2865,21.2296,21.8491,21.0863,27.3172,3.78083,39.6755,6.67812,16.9412,15.2039,19.4634,13.1268,11.3635,8.88312,7.23617,19.4402,54.5856
81,14.523,11.8462,6.551,25.5336,23.1779,25.61,23.3853,25.805,10.5657,34.6285,6.32532,13.011,21.9615,18.7567,13.1494,14.3193,7.93586,10.0799,10.7366,52.3217
82,4.08786,11.3888,8.24213,25.1909,23.9048,24.3428,23.7515,25.6464,10.1077,28.9681,11.5156,19.269,20.9295,20.1193,16.7033,13.9611,7.82528,8.10867,20.665,47.2187
83,15.719,15.0804,9.72276,25.9908,22.3202,24.5075,7.79346,31.008,10.4305,31.4406,9.81119,17.4978,23.8188,19.6378,10.6979,13.6019,7.98383,8.88832,11.193,53.6516
84,13.7386,16.8911,6.72836,24.7068,20.2822,24.5975,9.58272,32.7472,10.2641,39.2565,5.67772,21.2794,22.273,19.387,18.0858,10.6623,7.75847,8.18151,13.5038,55.4377
85,11.4729,13.9227,10.9075,25.9834,23.5025,24.8294,19.4405,26.1528,7.8855,39.5348,11.0417,21.6463,19.1554,20.5255,11.2978,13.5429,9.48785,8.92761,13.7675,47.0955
86,13.929,16.429,7.71521,24.7884,23.5754,22.2749,10.2231,30.9762,8.9071,28.8218,9.11002,22.3769,20.2742,20.4341,18.733,12.5444,10.3603,6.15044,18.4791,49.8926
87,3.25223,14.3488,9.44626,25.3954,24.6744,25.429,22.1715,25.6687,10.7796,34.2948,7.30789,21.7179,17.0497,20.1962,19.8058,12.9094,9.56429,7.04954,16.363,59.2025
88,13.0463,16.7782,6.62752,25.2267,20.7135,25.5444,23.6151,26.0991,2.74311,27.8938,7.61779,20.3577,21.2806,20.5455,10.568,14.4052,10.1674,9.06096,26.0096,50.3588
89,13.7965,16.5138,7.01636,26.0497,21.3568,21.2799,19.3714,31.6231,10.6925,38.3085,6.65278,21.5403,5.51752,19.6132,13.1451,9.32136,9.30247,8.63948,25.655,55.5237
90,14.961,10.5173,10.2831,24.9542,24.7104,24.2427,14.7084,28.3211,5.27294,32.7501,7.01147,13.0469,22.7719,19.3128,10.7164,9.25159,10.4332,8.61335,16.2513,60.6683
91,12.9553,16.0356,10.5018,25.8893,21.818,21.0485,23.2859,31.9541,9.22034,35.0425,11.3931,21.4059,21.7549,19.0217,16.2936,9.42822,7.82298,8.08212,18.3596,52.7315
92,11.8328,17.0015,11.0342,25.1255,20.8428,23.3001,56.2376,29.7686,10.7488,40.039,10.8982,16.3138,16.5681,19.5137,18.2279,9.18368,9.20818,8.87709,22.3898,48.6299
93,10.3792,10.8524,8.1721,25.0436,24.4343,19.9427,21.9562,26.6318,8.47355,37.0203,10.3308,18.4178,20.5888,21.0618,15.759,10.2731,8.3236,5.83856,25.157,53.4454
94,14.8081,15.0932,9.87904,25.4142,21.4189,24.1431,23.6828,31.5169,9.97936,36.8459,10.6313,19.0536,18.7565,18.7325,13.656,10.5119,9.47613,6.36667,10.0099,56.9888
