NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
50,6.4085,41.5881,35.0944,27.5017,29.2997,35.1686,18.4113,50.6998,5.1414,113.279,26.0432,10.1262,17.528,23.8773,75.3643,40.5734,10.7653,5.88843,93.982,50.2576
51,9.01288,41.6321,34.0159,28.0724,28.8281,34.5955,19.9194,54.9262,6.65579,108.944,30.5618,16.3137,21.7305,19.4266,69.6874,45.7977,10.3425,6.50177,96.9322,50.9908
52,7.48017,41.1102,32.629,31.5498,30.442,30.7578,21.0208,53.0571,8.54063,101.045,26.4685,13.1419,19.7187,22.8621,85.4297,39.8539,10.7368,5.44028,90.8407,53.1017
53,11.6575,40.9899,33.559,29.528,32.7476,33.8006,17.2557,54.6355,7.93427,110.111,31.7115,12.4234,23.1888,18.9423,77.7031,46.8637,11.7932,6.18685,95.1992,48.1507
54,11.6421,40.6242,30.39,27.7935,31.6066,34.0743,4.88829,52.2628,9.32635,110.84,25.6591,7.67555,17.8846,23.9434,81.3002,42.0299,11.3725,6.95245,94.2013,49.2074
55,11.9069,40.1387,34.7481,30.5126,30.0556,34.2749,21.3001,52.678,8.94392,101.212,31.7984,14.6201,16.7433,20.1134,77.9785,47.5658,9.87919,6.40186,84.9985,52.2639
56,11.396,42.8531,30.6533,27.2653,31.2689,32.9951,10.9366,53.5679,9.53875,113.115,30.771,15.8854,19.1191,23.4632,82.4712,43.8411,10.7072,7.00542,96.7489,55.3652
57,10.1956,41.5704,35.5255,31.3406,32.2604,32.2623,19.9141,54.6913,9.42561,115.267,30.0598,4.52365,16.2726,18.7667,69.1013,41.4612,11.1106,6.6879,97.1625,53.6061
58,11.7365,41.2835,34.5644,27.2484,30.6448,35.0714,13.4206,51.278,3.47418,115.734,31.8306,13.2155,24.5326,23.7578,84.127,43.0798,10.2839,7.05008,89.5583,60.1827
59,11.4928,41.8107,30.8995,30.2713,27.6045,35.2109,6.8198,49.4749,9.48889,109.907,25.1695,16.3934,18.0836,23.4962,69.0447,44.4633,11.0515,6.76689,100.374,50.5467
60,10.2764,42.5727,35.7998,31.5384,27.7991,34.7363,6.97581,55.005,9.2576,106.27,26.4298,18.67,19.1418,23.8609,82.5062,42.6022,11.3163,5.89531,98.7119,52.2615
61,13.5898,42.0977,31.233,26.6486,29.1045,33.8468,6.63836,54.5471,2.74203,113.372,26.0887,12.46,19.2207,23.5846,82.5123,46.7716,11.0847,5.31487,89.5368,55.2896
62,8.46423,42.8811,33.255,27.9686,30.2294,33.4301,20.353,53.2475,2.95583,112.109,26.2804,14.6111,21.6588,19.5628,83.9871,40.9622,11.6208,7.04305,95.66,55.0163
63,10.5484,41.3782,30.8226,29.7887,32.6128,30.729,14.5362,46.8373,9.95929,112.13,30.6405,17.2415,17.992,23.4311,82.6169,40.1513,11.8454,7.11955,87.9712,57.1147
64,9.29878,42.4281,30.3937,28.0646,29.7336,31.5744,21.3988,53.229,7.11834,98.6077,27.7802,17.7584,22.6842,20.5961,72.6293,41.8602,11.9176,5.50455,96.8616,59.9419
65,11.4924,42.1753,32.4724,31.1199,30.7992,34.1898,8.50628,54.5995,1.78783,103.192,31.6767,15.0437,26.0913,23.5854,70.7332,45.4907,10.2881,6.59918,91.8877,52.6516
66,12.3505,42.0422,30.4435,29.2106,31.3421,34.6128,21.8683,52.5975,7.81721,108.159,27.3964,8.77397,20.3955,23.8298,71.508,42.4703,12.2004,8.36703,85.26,52.1139
67,9.2125,41.8451,36.229,27.7,32.4961,34.5022,21.1621,52.6807,8.06991,99.0543,28.2803,17.5695,24.6455,21.3051,79.7658,42.7448,11.5353,5.44414,87.4065,51.9327
68,12.0192,40.0568,30.6098,26.3463,33.0811,34.4419,22.0081,55.0485,4.76495,107.684,28.647,15.5991,18.7799,22.2955,64.7257,47.2887,10.0604,5.12779,100.181,57.4737
69,9.48975,42.6105,31.7455,29.1451,29.0115,33.2784,17.3594,46.2521,3.18676,103.865,30.7637,15.2186,21.8876,23.9574,82.3961,47.8123,9.81384,5.8024,98.9705,52.5433
70,12.4042,39.627,30.6255,26.6999,28.9673,33.4857,22.3625,53.429,4.70321,111.319,28.7151,5.65695,24.6865,23.8118,79.23,40.0077,11.2614,5.19047,91.7162,59.8674
71,9.4198,40.9847,30.7254,29.3724,30.4869,30.9765,18.8153,54.631,6.15549,114.536,30.8641,10.899,19.2642,23.4549,84.25,43.074,11.0358,6.74338,94.7033,52.8671
72,5.42593,41.2267,30.4731,31.6698,29.7598,34.762,22.0264,53.1167,8.93422,102.769,30.7421,17.1754,16.4783,23.8758,76.244,47.4149,11.9199,7.07411,88.7745,61.2203
73,8.26932,42.2365,34.0915,31.6962,29.8961,32.5507,18.6998,53.8662,2.91082,114.018,29.6049,4.08339,26.0336,19.3333,81.9667,46.0052,12.0965,6.85895,94.7149,53.9919
74,12.3375,40.5937,32.2634,26.7151,32.2165,33.7867,5.53378,46.6481,6.45695,117.096,28.9503,17.6355,26.8866,18.9717,84.1902,47.8288,10.2321,6.77693,93.7769,60.3574
75,7.05613,40.7542,31.4372,30.559,29.6529,33.6348,20.3011,47.0322,1.79123,110.822,25.3156,17.4981,22.9277,24.0371,72.1109,45.7648,11.7972,7.5085,100.295,55.008
76,12.4347,40.5875,29.5693,27.8209,28.6848,35.1545,13.5681,53.253,10.2057,112.101,32.2207,18.5421,20.9724,19.1366,70.6437,44.363,9.78132,6.25587,98.4902,48.6335
77,5.75801,41.8715,30.5242,30.588,30.0813,33.9403,6.64968,47.1594,10.0001,103.592,25.3749,14.082,21.0024,19.6857,65.1777,39.5571,11.0798,8.75913,95.5463,49.7835
78,10.7024,41.5622,35.6379,29.4555,31.3743,33.2487,23.0607,53.3349,8.98091,99.3555,28.0363,12.1642,19.248,24.1648,85.4658,41.7053,11.5605,6.76502,91.123,50.642
79,3.14896,43.3181,30.924,27.2356,30.2969,31.3882,22.1982,46.7113,9.62906,116.324,25.1321,7.87752,20.6142,18.4261,85.5783,44.7455,10.3034,5.30134,88.2136,51.6759
80,9.51617,43.2566,32.2438,28.4802,30.1609,34.5004,21.3093,54.8102,3.15288,96.3823,32.48,14.3532,15.485,20.7756,59.236,40.1682,10.7449,6.30176,99.6804,60.2371
81,12.599,42.3524,35.4229,31.9028,29.0499,30.8025,24.0727,54.6522,10.2818,110.158,32.101,10.6782,25.7024,18.1192,81.9467,40.9242,12.3728,7.57618,97.3707,52.8711
82,3.49543,43.1596,30.1986,27.3883,32.9074,34.4029,24.1688,54.7664,9.57155,115.642,25.7546,16.7091,21.3087,23.7658,73.079,41.2617,11.9225,7.08277,96.488,48.2749
83,11.9871,41.7862,30.3508,26.0438,31.853,30.4596,7.56117,52.3773,9.99221,111.463,25.0535,14.9874,27.3347,21.3311,88.0224,39.3556,11.7931,7.69241,97.7134,58.6613
84,12.3678,40.6189,36.5814,30.9432,28.0528,31.8656,8.3287,46.7274,10.1145,96.8248,30.719,18.6246,26.4067,23.5045,73.0056,44.192,12.3458,6.64197,100.494,61.1832
85,9.26667,41.8889,29.7627,25.8221,32.7353,33.4002,17.4486,54.96,7.50445,96.9799,26.9371,19.0881,20.0598,23.9413,81.3236,41.397,9.69603,7.61814,87.4367,47.2069
86,11.6698,40.0305,32.3829,31.5951,29.3012,34.1339,10.0651,51.3552,8.05996,114.072,29.4587,18.3234,22.3348,22.8393,72.7667,38.8944,10.1939,5.07949,99.1157,49.9268
87,2.72681,40.3428,30.3116,32.2965,32.2131,31.2349,22.6273,55.2152,10.6628,111.539,25.8625,17.7743,18.7931,22.2626,73.0978,38.9395,10.5854,6.09993,83.8569,57.4017
