NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
51,6.21212,21.1779,14.9974,5.76911,19.4334,7.13529,18.8094,65.1035,3.54103,31.065,19.1623,9.98193,4.02142,10.5874,20.6935,17.6501,7.16048,2.40875,28.0495,67.6906
52,3.67843,18.0723,15.8007,4.33706,18.3007,5.5445,21.9023,65.7337,1.4275,22.3145,19.0591,11.2963,4.0379,8.44964,20.6663,18.8783,7.56574,3.54281,28.4364,53.1854
53,6.80988,18.6819,15.5063,9.07991,9.90113,14.0192,12.8168,63.9961,1.30949,31.3463,16.4801,7.80618,8.25248,3.85785,19.0121,17.6355,9.88635,2.9502,28.6211,24.2967
54,6.48947,19.7409,15.681,6.74624,13.9462,7.63612,7.56838,70.1052,2.08846,32.0607,18.4602,12.6413,3.05641,7.38124,15.0021,20.4528,8.33663,2.65443,25.641,69.5405
55,7.86766,19.5404,14.5672,4.82383,9.13774,7.30556,21.0858,69.9939,3.33158,21.2955,17.217,7.88182,7.46766,1.3667,18.3228,17.9835,6.0493,3.8285,31.1418,62.6612
56,8.7764,16.0839,16.6159,1.90136,5.6513,15.5518,15.2176,67.8798,2.69364,31.328,18.3138,11.989,5.56995,3.83593,18.4864,18.8561,7.08968,2.22838,22.8157,58.9219
57,8.85161,16.3276,14.5775,7.20541,11.4709,11.4166,23.0117,64.3406,1.90732,27.145,20.1416,10.2422,7.32055,5.82863,22.0965,20.2731,9.31386,1.4654,29.8839,59.5922
58,6.4417,16.8762,14.506,6.6875,4.90848,6.89239,9.66417,70.0029,1.79973,29.2636,15.9226,14.5024,5.97011,6.25974,20.9896,20.6092,6.52954,0.787668,26.452,25.955
59,5.64349,21.7316,15.3311,5.9663,21.6461,10.6063,10.1365,68.5602,3.46133,34.6866,18.8421,7.77268,3.58402,8.58396,21.1456,20.6084,7.42871,1.89744,25.8538,62.8691
60,7.24677,15.4039,14.1434,5.18108,21.8815,12.3571,9.21728,65.587,1.76963,30.9937,17.7921,17.4757,1.94468,5.1794,20.3149,20.7507,9.73046,3.32516,28.1816,53.4731
