NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
71,3.68982,15.3846,13.7409,9.62441,4.41409,8.76227,4.42917,12.6142,2.00725,14.7979,11.6028,1.23852,5.14986,7.53838,13.2095,13.5085,7.26437,2.11349,23.3066,6.75495
72,2.39144,15.0012,13.8398,10.2857,3.98735,8.1896,4.02972,13.1431,2.95389,21.3903,12.5367,1.35113,4.33658,7.80324,18.8374,11.5677,7.67101,2.20373,13.6248,6.41275
73,3.43572,10.8319,9.46712,10.2699,3.3903,8.97448,3.0339,12.94,1.30654,14.226,10.2967,0.534523,6.64592,6.35593,14.2858,11.5907,7.77843,2.21132,24.6469,7.15739
74,4.64388,16.1461,9.62198,9.08489,4.09747,9.0034,1.47119,12.902,2.18138,13.6128,13.656,1.29109,6.91119,6.40859,19.5995,11.7696,7.047,2.28944,12.0379,5.94282
75,2.66768,16.0158,11.5791,9.99145,4.05101,8.80788,3.95646,12.9054,0.760942,18.2601,18.4418,1.17683,5.95038,7.91487,24.1955,12.7613,7.55078,2.27212,14.281,6.82411
76,4.58312,12.9321,15.085,9.3989,3.4034,8.30189,3.0533,12.5591,3.30114,17.6542,9.73102,1.88002,5.58507,6.63226,23.8295,12.5243,6.87357,1.9963,12.0979,6.69808
77,2.46094,10.843,12.2928,10.088,4.18631,9.13454,1.68885,12.2371,3.23406,21.6473,13.775,0.950837,5.50582,6.59043,20.0255,15.8675,7.50429,3.01707,22.7014,4.65972
78,4.0654,14.6494,9.12699,9.74951,4.50222,8.31858,3.6706,13.4854,2.92638,21.2169,11.5063,0.898536,5.12634,7.7706,19.3416,13.7466,7.68973,1.96473,12.4762,6.61787
79,1.40422,9.60288,12.4662,9.04193,4.36279,8.89238,4.58583,12.9845,3.16244,13.9777,16.6506,0.959623,5.37108,6.31716,13.0279,11.974,7.02528,1.51926,13.1011,6.70545
80,3.68098,9.27871,11.2909,9.6171,3.44285,8.47097,3.39429,12.7398,1.20823,20.6947,9.94397,1.45922,4.12747,7.0762,16.999,13.9297,7.19834,1.80071,17.7626,7.09325
81,4.90644,10.3697,8.61804,10.3439,3.7252,8.95984,3.93339,12.5026,3.33705,17.2221,9.76779,0.83276,6.59313,6.2423,15.3624,17.1475,7.97805,2.55052,11.4147,5.24304
82,1.37551,9.61864,11.3454,9.29005,4.35133,9.05484,4.0618,12.5622,3.09474,14.4685,19.2107,1.41502,5.69531,7.83508,21.0768,16.7678,7.63075,2.051,19.2017,6.68486
