NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha
92,4.11695,15.7056,24.3793,9.23684,1.64346,7.64544,9.76234,12.879,3.72898,18.7051,23.8495,1.3636,3.6338,6.8259,41.4502,25.3593
93,3.46586,14.1798,20.2064,9.43276,2.56618,6.80638,3.49274,12.4428,2.77146,18.9356,23.4675,1.50423,4.82054,7.99675,36.2537,23.2105
94,5.52428,15.9934,25.7358,8.00223,1.73683,7.85959,4.41862,13.2123,3.37745,15.9736,23.6351,1.46895,4.23154,7.87911,33.12,22.3235
95,5.47825,14.3998,24.6225,8.76652,2.21477,7.79856,3.75178,12.6964,2.32436,13.2074,24.2268,1.63563,1.48841,6.27291,41.216,22.635
96,5.44437,16.2382,19.8921,9.06592,1.54816,7.71017,3.18252,12.8308,2.41686,13.0827,24.3321,0.585147,3.29046,6.49727,34.3038,25.9059
97,5.80929,15.0505,25.3882,8.49536,2.15271,7.82046,1.31717,12.3938,3.31444,18.6495,24.3741,1.64741,4.61025,7.93546,36.2594,26.2921
98,5.49105,14.6747,25.4601,8.73444,2.55256,6.83275,2.55978,13.107,1.42886,17.7652,23.908,1.62543,4.33298,7.84278,40.7255,26.1756
99,2.67807,14.6816,23.3459,9.25824,2.25222,7.83412,3.90164,12.7557,3.87862,17.1142,24.6837,1.40806,4.68614,6.44026,28.9046,23.1311
100,5.57318,13.5696,19.6665,9.47703,2.65431,7.79419,3.92924,12.9021,1.18927,16.0553,23.4298,1.64039,5.53678,7.78099,32.3632,25.3596
101,2.58329,13.5976,23.6013,8.17427,2.48309,7.69475,1.08184,12.5625,3.51487,14.9697,24.4405,0.722549,4.96292,7.83195,42.0805,26.1948
102,5.712,16.0079,25.1624,8.20334,2.40878,6.97547,3.35564,12.3679,3.72927,19.3699,23.9851,1.15433,4.94848,6.56853,34.8444,26.0128
103,5.42689,13.7251,20.9532,8.91702,2.58703,7.69025,2.61704,13.3399,3.81742,13.3277,23.7504,0.988242,4.05659,8.12579,41.0103,24.6375
104,5.21844,15.3392,24.5974,9.32365,1.9083,7.55897,3.75964,12.6087,3.5822,18.0018,24.0148,1.40965,1.36536,6.15806,38.9767,25.5817
105,4.62412,15.3258,23.6396,9.19663,1.51517,7.47179,3.29429,12.2841,0.733997,15.6921,23.768,1.65748,5.01728,6.97835,35.6955,27.3889
106,4.49908,13.4093,22.2909,7.88478,1.96237,7.77021,3.24135,12.5687,2.90826,16.4787,24.8632,2.52355,5.29666,6.76294,42.4474,26.2794
107,2.16629,15.9236,20.6803,8.23338,1.63699,8.03394,3.8228,12.9948,3.63466,15.806,24.5462,1.69072,5.86268,7.78237,31.6165,21.9708
108,1.30611,15.2622,24.2065,9.15486,2.45561,7.37844,3.68812,12.1506,1.19521,13.9043,24.1854,0.500614,5.7544,7.86242,33.1388,21.1901
109,1.16783,15.0822,24.1987,9.29844,2.62046,7.05857,3.91135,13.405,3.70167,15.2683,24.5697,1.39414,4.48731,6.83327,40.5597,27.0127
110,5.6885,13.5038,23.8636,8.99754,2.05088,7.93288,3.00062,13.0221,1.91687,19.6281,23.5142,1.6122,4.43529,7.97314,31.7881,22.2877
111,3.9468,16.2108,22.0796,8.98635,1.49036,8.00134,9.727,12.1663,3.12614,19.7997,23.4398,1.71038,1.63505,6.50573,32.8305,22.6063
112,4.02035,13.3497,24.4651,9.31313,1.52618,7.32586,1.13855,12.6927,0.933613,19.4182,24.4173,1.35348,1.30039,7.34278,33.9399,21.413
113,1.15809,13.4946,23.2761,9.4773,2.61878,8.16802,3.47638,12.3643,3.93381,17.412,23.4582,1.69772,4.71268,7.9274,31.2344,23.0679
114,5.65678,14.8249,20.1448,9.38729,2.57484,7.94393,3.86416,12.3792,3.84057,16.2114,24.8563,1.17118,5.21608,7.75206,39.2101,23.3129
115,5.37369,13.4966,25.0568,9.36606,2.25519,6.70463,1.5343,12.609,2.67427,19.7844,23.2515,2.55767,5.46822,8.11581,35.7715,24.7539
116,3.53449,14.0164,19.854,8.49396,1.64441,7.18274,2.04822,12.3238,1.50873,14.7115,23.9772,1.59588,1.41869,7.83677,44.6319,21.4652
117,5.84708,14.5787,24.5683,9.34227,2.31191,7.65965,2.68161,12.5933,3.18589,19.7652,24.3682,1.27501,5.66699,7.91691,34.8094,27.1646
118,5.30568,15.9868,24.8869,8.70269,1.98979,6.89107,3.26811,12.4753,4.02603,19.0931,23.4518,1.55516,5.53419,6.10285,37.3941,23.2396
119,5.7197,15.7524,19.7614,8.88348,2.67562,7.83534,4.07654,13.1199,3.48072,18.2569,24.2626,1.63591,4.79534,7.06601,42.4228,24.6433
120,5.99518,15.373,22.5067,9.39375,1.82187,7.00976,3.25246,12.3633,4.0061,15.6898,24.0317,1.73712,1.20485,7.9569,42.7224,21.6024
121,4.49358,14.3946,25.9605,8.73642,2.44839,8.30636,4.21506,12.4831,1.92204,17.1921,23.5546,4.30722,4.6697,6.06286,28.4216,20.714
122,2.84382,14.8029,23.9594,8.08188,2.14073,7.08686,3.92309,12.1215,4.06062,17.386,24.6405,1.43529,2.78446,8.18536,35.5275,21.6149
123,6.06798,13.6262,22.9191,9.25325,2.17265,8.08198,3.11499,12.2277,3.90474,12.3314,23.6983,4.60206,3.37324,5.8921,38.0446,20.7932
124,5.79581,14.4429,21.2657,8.507,1.49318,8.24234,4.17869,12.2272,4.83103,19.9177,23.9676,1.76115,5.07319,8.00528,43.8506,27.057
