NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
59,19.7901,67.9425,74.7528,45.5162,30.4127,47.4725,8.61449,71.4348,15.1934,135.656,65.0433,18.8932,25.0418,37.2677,137.149,82.0765,25.7443,10.8746,166.985,62.1938
60,17.9131,67.7683,75.5612,47.4038,30.5626,46.8274,9.06233,76.3509,14.942,137.133,67.0409,22.3975,26.5511,37.6003,142.97,80.5282,25.6039,9.3478,166.821,63.7057
61,24.3256,67.2338,69.197,40.7062,31.9704,47.6851,8.51683,75.8591,4.77896,133.133,66.7565,14.5904,26.5566,36.9956,139.641,85.4586,25.6082,8.43918,150.544,67.0449
62,14.2217,67.0918,74.5422,42.775,34.5052,45.5887,27.4898,75.6233,5.05616,137.585,67.5781,17.1482,29.7317,31.3086,144.339,82.916,26.1493,11.6635,166.208,66.8036
63,17.9681,65.436,72.18,44.9212,36.8397,44.3246,17.9507,67.971,16.0489,139.159,72.1872,19.8521,24.4299,36.9261,143.035,84.4545,26.7711,11.5422,152.31,67.4835
64,15.8045,67.8954,73.9019,42.9845,33.6176,45.2286,26.356,74.4689,11.6391,129.009,68.3497,21.2213,30.7166,32.7509,142.587,80.9205,26.7418,8.81014,158.527,71.1545
65,19.6664,66.2849,74.6725,46.6552,33.9558,48.0241,11.5795,75.5059,2.9727,129.497,73.5487,17.9449,35.2601,37.1093,139.427,83.7229,24.1729,11.0545,160.709,65.2421
66,20.8047,67.6205,72.7992,44.1252,34.6653,48.5168,27.4862,74.6274,12.5395,138.46,68.2893,10.4484,28.2117,37.6682,136.499,80.9855,27.1042,14.1213,148.017,63.6869
67,15.5183,65.9775,74.5243,42.2652,36.7649,47.0565,27.1039,75.0923,13.1484,128.113,68.9435,20.2339,33.2894,33.9082,148.955,80.0023,26.1697,8.58815,150.096,63.4319
68,20.3337,67.7792,74.734,40.2261,37.1479,48.0976,27.189,76.5691,7.85822,138.441,69.4801,18.1975,26.0828,35.5016,114.605,87.1649,23.6842,8.06251,167.198,69.8017
69,15.9761,66.4978,74.7715,44.3629,32.5079,45.8548,22.8057,67.3024,4.99409,135.284,72.5685,17.6457,30.2015,37.7619,147.358,88.8785,23.1066,9.61565,163.136,64.195
70,20.9193,67.0553,73.9869,40.7922,32.3407,45.4102,27.8652,75.4606,7.45288,137.815,69.8932,6.67903,33.7309,37.3492,140.958,83.1236,25.6397,8.33512,161.728,72.0258
71,15.8163,67.994,70.5566,44.6306,34.8608,44.3646,25.5155,75.8865,9.78433,139.17,71.7818,12.9396,26.5418,36.9116,141.285,88.6185,25.2384,11.2876,165.665,64.722
72,9.31347,67.8733,75.0008,47.4236,33.6857,46.623,27.9594,75.4628,14.3812,134.348,72.5918,19.8922,22.552,37.8288,145.657,90.5395,26.7342,11.7941,148.502,72.181
73,13.9721,66.323,69.2901,47.6962,32.8495,46.344,23.0824,75.8514,5.17209,134.221,71.5173,4.78812,35.1528,30.964,139.374,90.0527,26.7964,11.5996,166.584,66.6663
74,20.7757,68.4468,74.3151,40.7112,35.887,47.5231,7.70084,68.113,10.6214,138.593,70.0192,20.3118,36.5008,30.5165,149.18,89.5415,23.9036,11.4362,153.906,70.3895
75,11.8816,68.1305,68.1693,46.3242,33.6603,46.795,26.1769,68.4631,3.08313,140.1,66.2364,20.2121,30.9986,37.7985,140.585,83.6226,26.3698,12.3335,167.895,66.9389
76,20.8726,67.4387,72.8853,42.6097,31.8934,47.2298,18.1398,74.5778,16.4329,140.74,74.3999,22.2939,28.9115,30.6849,140.292,89.7061,23.1408,10.2656,162.219,60.4836
77,9.68087,67.6947,74.6501,45.9681,34.2145,47.7283,9.15692,68.1387,16.0599,135.238,65.4061,16.4061,28.4759,31.6499,119.226,83.3241,25.6722,15.0291,166.9,57.4688
78,18.1596,67.736,78.391,44.9159,35.7411,45.4738,28.3343,75.7159,14.5925,131.134,70.0146,14.394,26.8222,37.7469,150.037,86.9146,26.5335,10.7943,151.058,62.224
79,5.36675,68.1761,68.4819,41.5992,34.6263,45.1247,29.078,68.3785,15.4872,139.164,65.9998,9.30581,28.5303,29.7128,144.169,89.6531,23.947,8.34854,147.766,63.3316
80,15.8387,67.571,68.6932,43.2009,33.1379,47.1591,26.1961,76.3249,5.34566,127.411,74.8967,16.933,21.1287,32.9675,105.024,84.886,24.853,9.97175,169.933,72.6238
81,21.4656,66.1232,72.0649,47.7572,32.6997,44.6541,29.7399,75.5909,16.6447,133.065,74.4899,12.7611,34.6568,29.1067,140.025,83.8236,27.4603,12.9774,159.6,61.5844
82,5.85929,68.4975,73.035,41.6294,36.9071,48.1747,30.0507,75.5071,15.5035,139.954,67.2982,19.439,29.4887,37.3545,143.973,82.2663,26.4569,11.3312,166.846,60.1506
83,21.2052,67.3067,68.9033,39.8759,35.3119,43.8259,9.59371,74.7127,16.2293,132.106,65.6699,17.5473,37.1725,33.8361,148.821,83.3376,26.2924,12.5677,161.178,71.7218
84,20.9296,68.4576,78.4814,46.7747,30.742,45.42,11.3417,68.5893,16.2797,126.411,72.1753,21.4446,35.8244,36.8792,136.686,90.4535,27.3082,11.1962,167.261,72.9951
85,15.4632,66.4491,71.868,39.5386,36.6447,47.2769,23.046,75.8143,12.0364,128.845,68.3646,21.9583,27.8661,37.9321,144.607,81.419,22.8652,12.6152,148.111,58.8083
86,19.7545,68.2596,66.7221,47.577,33.0953,47.0121,12.5635,73.4193,13.1899,133.372,70.7848,21.9183,30.3296,36.1352,139.446,83.3116,24.0869,8.02498,169.085,61.7321
87,4.64723,67.7485,74.7736,48.3074,36.6062,45.1523,27.8079,75.9852,17.2495,134.338,65.9638,21.25,26.1154,35.2057,145.753,83.2455,24.7921,9.68087,143.98,69.3117
88,18.3707,68.0891,77.591,40.061,31.972,44.7178,29.5358,75.326,3.88257,138.478,72.2554,20.3603,33.328,37.3692,148.084,83.2502,23.4135,11.7944,165.755,61.2181
89,21.6551,67.7479,77.4733,42.4151,33.6765,47.423,23.0946,75.4697,17.1745,129.061,69.8234,21.8513,7.31684,37.1785,144.913,91.2981,23.6082,12.1623,162.008,66.0792
90,21.8782,66.8904,74.1784,42.0652,37.5977,46.8706,18.0356,74.6911,7.59903,133.865,74.9577,12.9595,35.5325,37.6602,143.431,89.924,23.7692,11.5938,167.71,70.6138
91,18.1858,67.7005,71.4788,44.0947,34.5766,47.7799,28.0918,68.6396,14.2889,139.012,68.7298,20.8385,35.2132,37.9697,144.621,88.5168,27.9306,10.118,145.865,70.1594
92,16.2723,68.5289,71.6134,46.1497,30.5177,48.0376,65.9392,74.132,17.3581,126.564,68.5144,16.0583,23.3701,31.1006,140.534,91.4863,26.2104,12.4643,167.876,63.4636
93,13.6003,67.7326,68.1608,48.4145,35.5199,46.0612,26.125,75.9436,12.3948,138.889,68.2242,18.6121,29.4385,37.0876,148.964,88.8234,25.2792,7.52061,166.831,72.0481
94,21.2752,68.4633,75.5963,39.7898,31.093,48.3074,27.7708,73.4391,15.6825,131.946,65.1446,18.9415,27.1581,37.2512,139.966,84.9552,24.7797,8.64071,152.382,67.1432
95,21.2791,67.2332,75.1718,43.3615,36.3464,45.3898,30.4607,74.9105,10.9352,137.495,73.9725,21.7934,8.27612,28.4705,145.067,81.2902,23.4804,27.7525,169.15,71.0266
96,21.2228,68.5127,69.269,46.7262,31.1904,45.3888,29.3702,74.5996,10.671,135.838,68.3942,6.09069,20.743,29.3079,141.707,83.9697,28.0868,8.8748,164.395,63.2294
97,22.2301,67.927,74.0932,41.8718,36.015,44.9938,9.67605,73.6908,14.968,139.209,72.4502,22.8336,28.6555,38.0018,150.997,84.523,25.2259,12.0313,167.891,73.8005
98,21.5214,67.0145,74.4109,43.2354,37.5941,47.3621,16.6789,75.6692,6.04787,140.492,65.9343,21.8689,26.6707,36.9119,149.691,83.4481,24.7322,13.3609,169.074,65.1619
99,10.2326,68.0629,70.8653,47.765,33.2449,44.5636,30.6216,72,17.9388,128.065,74.9555,16.4732,28.3421,29.4258,113.346,88.4471,24.2044,21.1757,143.931,64.1163
100,21.8442,65.1709,67.8384,48.7988,35.7679,48.5578,29.9385,68.8236,5.18552,138.941,64.1422,21.2919,36.2281,36.9848,129.874,84.6063,26.8801,8.26087,158.61,68.9261
101,10.1893,66.4183,79.089,40.2985,34.4995,45.5835,8.06846,76.4908,15.9618,139.203,67.5452,7.55049,30.6316,36.8037,144.209,91.7592,26.9077,11.8378,167.028,59.8883
102,22.0484,68.4468,73.072,41.2341,33.9764,48.0504,30.4211,67.0847,17.1635,137.791,72.0287,13.2718,32.4575,29.9695,132.667,85.2426,22.8491,7.92386,148.727,71.9645
103,21.1811,65.5251,73.457,46.0105,37.4372,47.1755,23.2357,75.4786,17.6052,136.599,71.9535,10.9623,25.9209,37.659,145.22,91.7783,24.4432,13.5795,162.082,73.5101
104,20.0636,67.638,73.9541,48.3368,31.9647,43.6044,26.9191,68.083,16.6807,125.058,65.9428,17.1511,7.70023,27.9048,145.307,92.146,26.3788,11.0628,166.967,72.9641
